time,open,high,low,close
2016-10-16T20:00:00-04:00,642.1,658,625.6,651.04
2016-10-23T20:00:00-04:00,651.05,725.64,645.81,697.41
2016-10-30T20:00:00-04:00,697.39,746.16,672.06,717.02
2016-11-06T19:00:00-05:00,717.04,747.26,685.7,704.01
2016-11-13T19:00:00-05:00,704.01,753.81,673.85,731.99
2016-11-20T19:00:00-05:00,731.72,748.77,726,729.24
2016-11-27T19:00:00-05:00,729.24,780,728.2,767.99
2016-12-04T19:00:00-05:00,767.94,776.99,748.6,771.05
2016-12-11T19:00:00-05:00,771.05,791.97,770.88,790.72
2016-12-18T19:00:00-05:00,790.71,918.5,788.58,896.12
2016-12-25T19:00:00-05:00,895.94,1000,890,992.95
2017-01-01T19:00:00-05:00,992.96,1175,802.07,923.33
2017-01-08T19:00:00-05:00,922.04,923.98,734.64,833.31
2017-01-15T19:00:00-05:00,833.43,946.24,826.03,931.22
2017-01-22T19:00:00-05:00,929.45,930,880,916.54
2017-01-29T19:00:00-05:00,916.56,1044.12,914.69,1016.32
2017-02-05T19:00:00-05:00,1016.32,1079,925,1010
2017-02-12T19:00:00-05:00,1009.99,1073.8,985.68,1059.88
2017-02-19T19:00:00-05:00,1059.89,1221.93,1051.36,1184.91
2017-02-26T19:00:00-05:00,1184.91,1298.61,1085.71,1278.97
2017-03-05T19:00:00-05:00,1278.63,1360,956.85,1235.57
2017-03-12T20:00:00-04:00,1235.27,1277.27,919.44,1019.49
2017-03-19T20:00:00-04:00,1019.1,1120,890.05,973.08
2017-03-26T20:00:00-04:00,974.24,1119,961.1,1113.99
2017-04-02T20:00:00-04:00,1113.23,1221,1112.24,1210.97
2017-04-09T20:00:00-04:00,1210.99,1234,900,1177.99
2017-04-16T20:00:00-04:00,1177.63,1258.77,1170.85,1251.98
2017-04-23T20:00:00-04:00,1251.91,1394.51,1246.31,1384.55
2017-04-30T20:00:00-04:00,1384.55,1665,1370.98,1609.57
2017-05-07T20:00:00-04:00,1611.1,1889,1608,1799.99
2017-05-14T20:00:00-04:00,1799.98,2102.68,1690.14,2057
2017-05-21T20:00:00-04:00,2056.99,2806,1913.19,2232.78
2017-05-28T20:00:00-04:00,2237,2599,2112.31,2521.36
2017-06-04T20:00:00-04:00,2521.43,2998.99,2517.02,2998.98
2017-06-11T20:00:00-04:00,2998.98,2999.99,2050,2515.25
2017-06-18T20:00:00-04:00,2515.25,2781.59,2430.05,2505.61
2017-06-25T20:00:00-04:00,2505.61,2605,2258.34,2516.66
2017-07-02T20:00:00-04:00,2515.37,2636.1,2471.22,2508.99
2017-07-09T20:00:00-04:00,2508,2523,1758.2,1911.78
2017-07-16T20:00:00-04:00,1911.79,2957,1909.58,2754.28
2017-07-23T20:00:00-04:00,2755.19,2825.11,2403,2723.99
2017-07-30T20:00:00-04:00,2723.99,3335,2650,3222.22
2017-08-06T20:00:00-04:00,3222.22,4200,3190,4060.47
2017-08-13T20:00:00-04:00,4060.47,4469,3807.14,4050.99
2017-08-20T20:00:00-04:00,4050.99,4453.9,3583.46,4340.11
2017-08-27T20:00:00-04:00,4343.5,4980,4200,4626.05
2017-09-03T20:00:00-04:00,4626.05,4692,4139,4251.36
2017-09-10T20:00:00-04:00,4251.36,4375.37,2975.01,3719.97
2017-09-17T20:00:00-04:00,3719.98,4130,3509.79,3669.01
2017-09-24T20:00:00-04:00,3669.01,4396.99,3669.01,4394.81
2017-10-01T20:00:00-04:00,4394.81,4612,4150.01,4603.49
2017-10-08T20:00:00-04:00,4603.5,5867,4561,5693.7
2017-10-15T20:00:00-04:00,5693.7,6189.1,5102,6005.05
2017-10-22T20:00:00-04:00,6000.01,6298.99,5376.71,6140.01
2017-10-29T20:00:00-04:00,6140.01,7630,6028,7392
2017-11-05T19:00:00-05:00,7391.95,7898,5511.11,5886.35
2017-11-12T19:00:00-05:00,5886.35,8098.62,5850,8031.82
2017-11-19T19:00:00-05:00,8031.83,9596,7802.99,9401.11
2017-11-26T19:00:00-05:00,9401.11,11891,8595.55,11290
2017-12-03T19:00:00-05:00,11290,19697,10950,15290.01
2017-12-10T19:00:00-05:00,15290.01,19891.99,15200,19378.99
2017-12-17T19:00:00-05:00,19378.99,19385,10400,14221.94
2017-12-24T19:00:00-05:00,14221.93,16490,12500,13863.13
2017-12-31T19:00:00-05:00,13863.14,17178,12952.5,16174.22
2018-01-07T19:00:00-05:00,16174.22,16275,12800.01,13656.23
2018-01-14T19:00:00-05:00,13656.23,14253,9005,11518.17
2018-01-21T19:00:00-05:00,11518.17,11849,9945,11536
2018-01-28T19:00:00-05:00,11536,11570,7540,8167.91
2018-02-04T19:00:00-05:00,8167.9,9090,5873,8072.99
2018-02-11T19:00:00-05:00,8073,11299.1,8072.99,10380.04
2018-02-18T19:00:00-05:00,10380.03,11775,9324.75,9597.99
2018-02-25T19:00:00-05:00,9600,11494.57,9404,11469.9
2018-03-04T19:00:00-05:00,11469.9,11645.74,8370,9533.88
2018-03-11T20:00:00-04:00,9533.88,9890,7310,8192
2018-03-18T20:00:00-04:00,8192,9174,8108.31,8452.96
2018-03-25T20:00:00-04:00,8453,8498,6450,6816.01
2018-04-01T20:00:00-04:00,6816.01,7520,6518.88,7020.01
2018-04-08T20:00:00-04:00,7020.01,8392.56,6617,8355.25
2018-04-15T20:00:00-04:00,8355.24,9038.87,7822,8795.01
2018-04-22T20:00:00-04:00,8795,9763.49,8602.43,9389.01
2018-04-29T20:00:00-04:00,9389.01,9948.12,8831.21,9600
2018-05-06T20:00:00-04:00,9600,9619.55,8223.43,8686.1
2018-05-13T20:00:00-04:00,8686.1,8880.01,7927.21,8516.86
2018-05-20T20:00:00-04:00,8516.86,8584.39,7229.01,7346.64
2018-05-27T20:00:00-04:00,7346.64,7777,7058,7706.37
2018-06-03T20:00:00-04:00,7706.37,7747.57,6652,6770.31
2018-06-10T20:00:00-04:00,6770.31,6913.83,6135,6447.16
2018-06-17T20:00:00-04:00,6447.15,6829.06,5777,6149.99
2018-06-24T20:00:00-04:00,6150,6520.15,5790.01,6349.5
2018-07-01T20:00:00-04:00,6349.5,6843.26,6270.01,6701.97
2018-07-08T20:00:00-04:00,6701.97,6815.82,6075.01,6348.73
2018-07-15T20:00:00-04:00,6348.73,7687,6330.3,7397.8
2018-07-22T20:00:00-04:00,7400,8488,7378.26,8216.34
2018-07-29T20:00:00-04:00,8216.33,8274.92,6880,7030.01
2018-08-05T20:00:00-04:00,7030,7163,6003,6316.01
2018-08-12T20:00:00-04:00,6316,6636,5900,6489.53
2018-08-19T20:00:00-04:00,6489.53,6890.65,6227.71,6709.98
2018-08-26T20:00:00-04:00,6709.98,7328.99,6654.13,7295
2018-09-02T20:00:00-04:00,7294.99,7402.5,6116,6235.01
2018-09-09T20:00:00-04:00,6235.02,6580,6176.76,6498
2018-09-16T20:00:00-04:00,6498,6823,6106.37,6696.99
2018-09-23T20:00:00-04:00,6696.99,6786.73,6320.5,6605
2018-09-30T20:00:00-04:00,6605,6641,6398.96,6570
2018-10-07T20:00:00-04:00,6569.99,6681.19,6033.34,6183.49
2018-10-14T20:00:00-04:00,6183.52,6810,6151.58,6415.88
2018-10-21T20:00:00-04:00,6415.87,6471,6360,6403.62
2018-10-28T20:00:00-04:00,6403.63,6464.15,6201.67,6423.28
2018-11-04T19:00:00-05:00,6423.29,6540,6271.15,6357.6
2018-11-11T19:00:00-05:00,6357.6,6383.59,5188,5560
2018-11-18T19:00:00-05:00,5560,5560,3456.78,3936.69
2018-11-25T19:00:00-05:00,3936.7,4414.89,3508,4103.19
2018-12-02T19:00:00-05:00,4102.8,4119.98,3212,3531.18
2018-12-09T19:00:00-05:00,3531.18,3590.71,3128.89,3195
2018-12-16T19:00:00-05:00,3194.99,4175,3184.28,3944.93
2018-12-23T19:00:00-05:00,3944.92,4239.37,3567,3829
2018-12-30T19:00:00-05:00,3829,4088,3625,4040.99
2019-01-06T19:00:00-05:00,4040.98,4114.8,3481.54,3514.24
2019-01-13T19:00:00-05:00,3514.24,3765.9,3481.01,3536.19
2019-01-20T19:00:00-05:00,3537.56,3657.76,3425,3531.02
2019-01-27T19:00:00-05:00,3531.02,3535.92,3337.87,3414.78
2019-02-03T19:00:00-05:00,3415.69,3711,3340.8,3648.84
2019-02-10T19:00:00-05:00,3648.85,3675,3535.1,3625.08
2019-02-17T19:00:00-05:00,3625.08,4188.79,3616.18,3734.22
